Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
82,57,64,sciencedaily.com,1,54.239.216.119,us,2018-10-06,2018-10-12
82,60,67,inc.com,115,151.101.34.58,us,2016-12-05,2018-11-21
82,50,55,hubpages.com,22,52.20.30.185,us,2015-02-03,2018-11-21
82,54,59,crunchbase.com,2,104.197.97.248,us,2018-09-30,2018-11-20
82,56,63,politico.com,24,104.100.50.207,us,2018-01-16,2018-11-21
82,63,66,fedoraproject.org,1975,209.132.181.5,us,2017-11-11,2018-11-22
82,52,55,ezinearticles.com,2,69.135.101.57,us,2018-05-21,2018-11-21
82,73,76,viglink.com,1,52.54.148.215,us,2018-07-14,2018-11-21
82,59,61,admin.ch,50,162.23.128.233,ch,2017-11-21,2018-11-21
82,54,56,viadeo.com,16,54.230.19.223,us,2017-06-17,2018-11-19
82,55,55,freewebs.com,4,104.16.91.230,us,2017-10-01,2018-10-28
82,52,58,tiny.cc,13,192.241.240.89,us,2017-05-13,2018-11-21
82,54,60,udemy.com,4,151.101.249.168,us,2018-07-17,2018-11-17
82,58,66,cbslocal.com,36,192.0.79.32,us,2018-06-06,2018-11-21
82,69,69,icann.org,7,192.0.32.100,us,2017-08-14,2018-11-18
82,59,65,arstechnica.com,703,50.31.169.131,us,2016-04-11,2018-11-22
82,63,69,fortune.com,88,52.85.142.21,us,2017-01-19,2018-11-22
82,61,65,moodle.org,95,104.20.218.25,us,2016-08-06,2018-11-20
82,47,52,kinja.com,697,151.101.130.166,us,2015-06-10,2018-11-22
82,50,58,tufts.edu,47,130.64.212.203,us,2016-08-31,2018-11-21
82,52,56,douban.com,4,211.147.4.31,cn,2017-01-04,2018-10-19
82,62,66,moz.com,1,208.184.81.150,us,2014-02-08,2018-09-24
82,57,65,rs6.net,3,208.75.122.11,us,2018-10-31,2018-11-18
82,59,65,espn.go.com,1,198.105.197.241,us,2015-02-04,2018-10-05
82,59,66,newyorker.com,22,151.101.200.239,us,2017-01-15,2018-11-21
82,61,66,bigcartel.com,11,151.101.33.211,us,2017-07-08,2018-11-21
82,54,59,ethz.ch,22,129.132.202.19,ch,2017-06-29,2018-11-20
82,54,55,blogspot.nl,1,172.217.7.129,us,2017-09-30,2018-10-21
82,63,69,fastcompany.com,670,151.101.33.54,us,2013-06-24,2018-11-22
82,56,64,nypost.com,24,192.0.79.32,us,2018-05-26,2018-11-17
82,58,65,gofundme.com,47,151.101.33.6,us,2013-06-08,2018-11-21
82,54,57,blogspot.com.au,5,172.217.12.225,us,2017-11-02,2018-10-30
82,56,55,exblog.jp,36,13.71.144.212,jp,2017-04-07,2018-11-21
82,54,69,ccbill.com,1,64.38.212.57,us,2017-02-26,2018-08-25
82,57,55,jugem.jp,173,133.130.34.119,jp,2017-05-27,2018-11-22
82,58,64,cmu.edu,175,128.2.24.207,us,2017-06-21,2018-11-21
82,51,56,pixnet.net,28,103.23.108.220,tw,2017-07-04,2018-11-21
82,63,70,marriott.com,42,104.18.139.190,us,2018-06-04,2018-11-21
82,57,61,mixcloud.com,11,104.20.76.9,us,2018-06-09,2018-11-20
82,57,63,cam.ac.uk,50,131.111.15.155,gb,2017-04-07,2018-11-21
82,44,48,unblog.fr,5240,91.121.50.177,fr,2017-07-11,2018-11-22
82,48,51,plurk.com,2,34.201.95.141,us,2018-03-30,2018-10-28
