Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
83,55,57,500px.com,10,151.101.32.64,us,2017-06-24,2018-11-20
83,61,69,bizjournals.com,118,107.154.103.27,us,2013-07-06,2018-11-21
83,62,66,fb.me,48,31.13.78.35,ie,2018-05-20,2018-11-21
83,49,53,diigo.com,723,54.148.192.94,us,2016-10-01,2018-11-21
83,61,66,redhat.com,1,209.132.183.69,us,2017-07-23,2018-10-07
83,63,68,squarespace.com,4,151.101.32.238,us,2017-06-25,2018-10-26
83,52,58,wikispaces.com,3,208.43.192.33,us,2018-04-04,2018-10-18
83,59,66,economist.com,74,199.83.132.108,us,2014-04-20,2018-11-21
83,61,67,ieee.org,918,104.196.165.184,us,2013-06-25,2018-11-22
83,59,67,ed.gov,1,52.45.68.59,us,2018-09-05,2018-11-17
83,62,68,samsung.com,48,104.107.12.179,us,2017-02-23,2018-11-21
83,55,62,unc.edu,148,152.19.139.73,us,2017-05-28,2018-11-21
83,66,64,homestead.com,8,108.167.135.213,us,2018-06-15,2018-11-19
83,61,67,atlassian.com,2,104.192.142.43,us,2018-07-14,2018-11-17
83,58,64,americanexpress.com,175,23.13.171.41,us,2014-11-26,2018-11-22
83,54,61,usc.edu,95,128.125.1.152,us,2017-04-23,2018-11-21
83,57,64,libsyn.com,205858,204.16.244.13,us,2017-04-03,2018-11-22
83,53,60,utah.edu,168,155.97.149.145,us,2017-09-25,2018-11-22
83,52,54,webnode.com,98,217.11.242.225,cz,2018-03-27,2018-11-21
83,61,67,theverge.com,1258,151.101.201.52,us,2014-11-28,2018-11-22
83,56,63,target.com,7,151.101.202.187,us,2017-04-08,2018-11-21
83,59,64,nicovideo.jp,90,210.135.99.89,jp,2015-01-28,2018-11-22
83,56,62,ign.com,2203,151.101.201.135,us,2013-08-04,2018-11-22
83,56,63,ucla.edu,27,128.97.17.160,us,2017-04-23,2018-11-20
83,52,60,instructables.com,1183,151.101.201.105,us,2016-04-04,2018-11-22
83,59,67,usnews.com,57,104.87.154.56,us,2014-10-03,2018-11-21
83,55,62,uchicago.edu,794,128.135.22.12,us,2017-04-22,2018-11-22
83,58,64,utexas.edu,859,146.6.100.192,us,2017-04-23,2018-11-22
83,54,52,xrea.com,36881,150.95.8.194,jp,2017-04-18,2018-11-22
83,45,48,soup.io,4468,77.244.254.19,at,2018-05-17,2018-11-22
83,55,61,theconversation.com,186,151.101.130.110,us,2014-01-23,2018-11-21
83,59,66,indiegogo.com,36,151.101.32.253,us,2018-05-10,2018-11-21
83,63,68,barnesandnoble.com,1,104.104.246.35,us,2018-06-03,2018-10-27
83,54,61,umd.edu,157,128.8.138.8,us,2017-05-12,2018-11-21
83,57,64,yale.edu,32,209.15.19.172,us,2017-06-17,2018-11-21
83,56,57,geocities.jp,5,118.151.231.178,jp,2016-09-13,2018-11-21
83,60,53,ucoz.net,53,195.216.243.31,ru,2017-10-11,2018-11-21
83,52,55,sapo.pt,2988,213.13.145.64,pt,2017-05-21,2018-11-22
83,61,68,wikihow.com,132,151.101.202.110,us,2016-01-19,2018-11-22
83,57,63,ox.ac.uk,21,129.67.165.148,gb,2017-02-05,2018-11-21
83,55,62,indeed.com,1,166.78.203.168,us,2017-12-14,2018-11-15
83,57,63,princeton.edu,77,140.180.223.42,us,2017-04-30,2018-11-21
83,55,57,nifty.com,33,175.184.40.131,jp,2018-01-11,2018-11-21
83,59,67,state.gov,2,104.16.225.221,us,2017-02-10,2018-10-22
